Instituto/Curso, Cadastro Cancelado, Cancelamento Novo Vestibular, Cancelamento Judicial, Cancelamento Por CRPL Zero, Decurso de Prazo M�ximo p/ Conclus�o de Curso, Desist�ncia, Excluido, Exclu�do Art.45 Possui Outro Curso, Falecimento do Aluno, Limite de Trancamento, N�o Confirm. V�nculo, T�rmino do Benef�cio do Conv�nio, Transfer�ncia p/ Outra IES, Total Geral
Instituto de Ciências da Arte - ICA,0,2,0,0,41,26,32,0,0,20,0,0,1,122
Artes visuais (Bacharelado/Licenciatura),0,0,0,0,3,6,0,0,0,8,0,0,1,18
Cinema e Audiovisual,0,0,0,0,0,3,0,0,0,0,0,0,0,3
Cinema e Audiovisual - Intensivo,0,0,0,0,0,5,2,0,0,0,0,0,0,7
Dança (Licenciatura),0,0,0,0,22,1,0,0,0,0,0,0,0,23
Educação Artística (Hab. em Música),0,0,0,0,2,0,0,0,0,0,0,0,0,2
Museologia (Bacharelado),0,2,0,0,0,5,17,0,0,0,0,0,0,24
Música (Licenciatura),0,0,0,0,12,1,12,0,0,0,0,0,0,25
Teatro (Licenciatura) - Noturno,0,0,0,0,2,5,1,0,0,12,0,0,0,20
Instituto de Ciências Biológicas - ICB,2,4,0,0,22,19,40,0,0,0,0,0,0,87
Biomedicina,1,2,0,0,1,2,9,0,0,0,0,0,0,15
Biotecnologia,0,0,0,0,10,8,0,0,0,0,0,0,0,18
Ciências Biológicas,1,2,0,0,11,8,31,0,0,0,0,0,0,53
Ciências Biológicas (Licenciatura/ parfor),0,0,0,0,0,1,0,0,0,0,0,0,0,1
Instituto de Ciências da Educação - ICED,1,3,1,0,55,23,66,0,0,0,1,0,0,150
Educação Física,0,0,0,0,4,5,10,0,0,0,0,0,0,19
Pedagogia (Licenciatura/parfor),0,1,0,0,0,0,0,0,0,0,0,0,0,1
Pedagogia,1,2,1,0,51,18,56,0,0,0,1,0,0,130
Instituto de Ciências Exatas e Naturais - ICEN, 1,13,0,0,216,74,108,1,0,0,0,0,2,415
Ciência da Computação,0,1,0,0,5,4,36,0,0,0,0,0,0,46
Ciências Naturais (Licenciatura),0,1,0,0,15,4,0,0,0,0,0,0,0,20
Ciências Naturais (Licenciatura/parfor), 0 0 0 0 6 1 0 0 0 0 0 0 0 7
Ciências Naturais (Licenciatura/parfor), 0,0,0,0,1,0,5,0,0,0,0,0,0,6
Estatística - Bacharelado,0,2,0,0,14,1,41,0,0,0,0,0,0,58
Física,0,5,0,0,39,20,25,1,0,0,0,0,1,91
Física (Licenciatura/parfor),0,0,0,0,1,2,0,0,0,0,0,0,0,3
Matemática,1,2,0,0,70,14,1,0,0,0,0,0,0,88
Matemática (Licenciatura) - Intensivo,0,0,0,0,8,0,0,0,0,0,0,0,0,8
Matemática (Licenciatura/parfor),0,0,0,0,0,1,0,0,0,0,0,0,0,1
Química,0,2,0,0,33,16,0,0,0,0,0,0,0,51
Química Industrial,0,0,0,0,12,6,0,0,0,0,0,0,0,18
Sistemas de Informação - Noturno,0,0,0,0,12,5,0,0,0,0,0,0,1,18
Instituto de Ciências Jurídicas - ICJ,1,0,0,0,18,15,0,0,0,0,0,0,0,34
Direito,1,0,0,0,18,15,0,0,0,0,0,0,0,34
Instituto de Ciências da Saúde - ICS,1,8,1,0,50,31,142,0,0,0,0,1,3,237
Enfermagem,1,0,0,0,15,7,23,0,0,0,0,0,0,46
Farmácia,0,2,0,0,12,4,72,0,0,0,0,1,0,91
Fisioterapia,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Medicina,0,0,0,0,5,2,0,0,0,0,0,0,1,8
Nutrição,0,1,0,0,12,6,18,0,0,0,0,0,0,37
Odontologia,0,5,1,0,6,6,27,0,0,0,0,0,2,47
Terapia ocupacional,0,0,0,0,0,5,2,0,0,0,0,0,0,7
Instituto de Ciências Sociais Aplicadas - ICSA, 3,9,0,0,201,60,3,0,0,0,0,0,4,280
Administração, 1,0,0,0,38,7,0,0,0,0,0,0,2,48
Arquitetura e urbanismo,0,0,0,0,10,3,0,0,0,0,0,0,0,13
Biblioteconomia,0,1,0,0,12,8,0,0,0,0,0,0,0,21
Ciências Contábeis,1,2,0,0,43,11,3,0,0,0,0,0,0,60
Ciências Econômicas,1,3,0,0,42,12,0,0,0,0,0,0,1,59
Serviço Social,0,2,0,0,14,7,0,0,0,0,0,0,0,23
Turismo,0,1,0,0,42,11,0,0,0,0,0,0,0,54
Instituto de Educação Matemática e 0,1,0,0,0,10,0,0,1,0,0,0,0,12
Licenciatura Integrada em Educação em Ciências Matemática e Linguagens, 0,1,0,0,0,9,0,0,1,0,0,0,0,11
Licenciatura Integrada em Educação em Ciências Matemática e Linguagens - Parfor,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Instituto de Filosofia e Ciências Humanas - IFCH, 2,11,0,1,205,33,5,0,2,2,0,0,4,265
Ciências Sociais,0,5,0,0,66,5,2,0,0,0,0,0,0,78
Filosofia (Bacharelado/Licenciatura),0,2,0,0,28,4,3,0,1,2,0,0,0,40
Filosofia (Licenciatura/parfor),0,0,0,0,4,0,0,0,0,0,0,0,0,4
Geografia,2,2,0,0,31,6,0,0,1,0,0,0,3,45
Geografia (Licenciatura) - Intensivo,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Historia,0,2,0,1,37,13,0,0,0,0,0,0,1,54
Historia (Bacharelado/Licenciatura) -, 0,0,0,0,15,0,0,0,0,0,0,0,0,15
Intervalar Psicologia, 0,0,0,0,4,0,0,0,0,0,0,0,0,4
Psicologia - Formação do Psicólogo,0,0,0,0,20,4,0,0,0,0,0,0,0,24
Instituto de Geociências - IG,0,6,0,0,30,25,1,0,0,0,0,0,1,63
Geofísica,0,0,0,0,5,5,1,0,0,0,0,0,0,11
Geologia,0,0,0,0,6,7,0,0,0,0,0,0,0,13
Meteorologia,0,5,0,0,10,10,0,0,0,0,0,0,1,26
Oceanografia,0,1,0,0,9,3,0,0,0,0,0,0,0,13
Institutos de Letras e Comunicação - ILC,1,14,0,0,77,36,0,2,0,0,0,0,0,130
Comunicação Social,0,1,0,0,15,6,0,0,0,0,0,0,0,22
Letras (Licenciatura em Língua Alemã),0,4,0,0,1,4,0,1,0,0,0,0,0,10
Letras (Licenciatura em Língua Francesa),0,5,0,0,7,4,0,0,0,0,0,0,0,16
Letras (Licenciatura em Libras e Língua Portuguesa) - Intensivo, 0,0,0,0,0,2,0,0,0,0,0,0,0,2
Letras (Licenciatura em Língua Espanhola), 0,0,0,0,1,0,0,0,0,0,0,0,0,1
Letras (Licenciatura em Língua Inglesa),1,0,0,0,10,9,0,0,0,0,0,0,0,20
Letras (Licenciatura em Língua Inglesa/Parfor), 0,0,0,0,0,1,0,0,0,0,0,0,0,1
Letras (Licenciatura em Língua Portuguesa), 0,4,0,0,43,9,0,1,0,0,0,0,0,57
Letras (Licenciatura em Língua Portuguesa/Parfor), 0,0,0,0,0,1,0,0,0,0,0,0,0,1
Instituto de Tecnologia - ITEC,0,12,0,1,254,94,0,1,1,0,0,8,6,377
Engenharia Civil,0,2,0,1,59,14,0,0,0,0,0,0,2,78
Engenharia da Computação,0,1,0,0,24,15,0,0,0,0,0,1,3,44
Engenharia de Alimentos,0,1,0,0,6,9,0,0,0,0,0,0,0,16
Engenharia de Telecomunicações,0,0,0,0,0,2,0,0,0,0,0,0,0,2
Engenharia Elétrica,0,2,0,0,51,9,0,0,1,0,0,2,0,65
Engenharia Mecânica,0,3,0,0,79,13,0,0,0,0,0,4,1,100
Engenharia Naval,0,0,0,0,6,2,0,0,0,0,0,0,0,8
Engenharia Química,0,2,0,0,19,11,0,0,0,0,0,0,0,32
Engenharia Sanitária,0,0,0,0,9,0,0,0,0,0,0,0,0,9
Engenharia Sanitária e Ambiental,0,1,0,0,1,10,0,0,0,0,0,1,0,13
Engenharia Ferroviária e Logística,0,0,0,0,0,3,0,0,0,0,0,0,0,3
Engenharia Biomédica,0,0,0,0,0,6,0,1,0,0,0,0,0,7
Total Geral,12,83,2,2,1169,446,397,4,4,22,1,9,21,2172
