Área de Conhecimento/Curso , Cadastro Cancelado, Cancelamento Novo Vestibular, Cancelamento Judicial, Cancelamento Por CRPL Zero, Decurso de Prazo Máximo p/ Conclusão de Curso, Desistência, Excluido, Excluído Art.45 Possui Outro Curso, Falecimento do Aluno, Limite de Trancamento, Não Confirm. Vínculo, Término do Benefício do Convênio, Transferência p/ Outra IES, Total Geral
Instituto de Ciências da Arte - ICA,0,2,0,0,41,26,32,0,0,20,0,0,1,122
Instituto de Ciências Biológicas - ICB,2,4,0,0,22,19,40,0,0,0,0,0,0,87
Instituto de Ciências da Educação - ICED,1,3,1,0,55,23,66,0,0,0,1,0,0,150
Instituto de Ciências Exatas e Naturais - ICEN, 1,13,0,0,216,74,108,1,0,0,0,0,2,415
Instituto de Ciências Jurídicas - ICJ,1,0,0,0,18,15,0,0,0,0,0,0,0,34
Instituto de Ciências da Saúde - ICS,1,8,1,0,50,31,142,0,0,0,0,1,3,237
Instituto de Ciências Sociais Aplicadas - ICSA, 3,9,0,0,201,60,3,0,0,0,0,0,4,280
Instituto de Educação Matemática e Científica - IEMCI , 0,1,0,0,0,10,0,0,1,0,0,0,0,12
Instituto de Filosofia e Ciências Humanas - IFCH, 2,11,0,1,205,33,5,0,2,2,0,0,4,265
Instituto de Geociências - IG,0,6,0,0,30,25,1,0,0,0,0,0,1,63
Institutos de Letras e Comunicação - ILC,1,14,0,0,77,36,0,2,0,0,0,0,0,130
Instituto de Tecnologia - ITEC,0,12,0,1,254,94,0,1,1,0,0,8,6,377
Total Geral,12,83,2,2,1169,446,397,4,4,22,1,9,21,2172