Instituto/Curso, Cadastro cancelado, Cancelamento por reopção, Cancelamento por CRPL zero, Decurso de prazo máximo p/ conclusão de curso, Desistência, Limite de trancamentos, Prescrito, Programa cancelado, Término do benefício do convênio, Trancamento de programa Transferência para outra IES 
Instituto de Ciências Biológicas, 0, 13, 17, 14, 20, 25, 27, 0, 0, 0, 0, 116
Biomedicina, 0, 3, 2, 3, 6, 3, 16, 0, 0, 0, 0, 33
Biotecnologia, 0, 2, 3, 2, 6, 5, 10, 0, 0, 0, 0, 28
Ciências Biológicas (Licenciatura), 0, 3, 7, 7, 2, 9, 1, 0, 0, 0, 0, 29
Ciências Biológicas (Bacharelado), 0, 2, 5, 2, 3, 2, 0, 0, 0, 0, 0, 14
Engenharia de Bioprocessos, 0, 3, 0, 0, 3, 6, 0, 0, 0, 0, 0, 12
Instituto de Ciências da Arte, 0, 4, 35, 17, 15, 29, 62, 0, 0, 3, 0, 165
Artes Visuais (Licenciatura), 0, 0, 0, 1, 4, 0, 3, 0, 0, 3, 0, 11
Artes Visuais (Bacharelado), 0, 0, 2, 3, 1, 1, 2, 0, 0, 0, 0, 9
Cinema e Audiovisual, 0, 1, 5, 1, 1, 6, 3, 0, 0, 0, 0, 17
Cinema e Audiovisual - Intensivo, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 5
Dança (Licenciatura), 0, 0, 6, 3, 1, 4, 1, 0, 0, 0, 0, 15
Museologia (Bacharelado), 0, 3, 7, 3, 2, 4, 23, 0, 0, 0, 0, 42
Música (Licenciatura), 0, 0, 7, 1, 3, 3, 17, 0, 0, 0, 0, 31
Teatro (Licenciatura), 0, 0, 6, 3, 1, 8, 5, 0, 0, 0, 0, 23
Tecnologia em Produção Multimídia, 0, 0, 2, 2, 2, 1, 5, 0, 0, 0, 0, 12
Instituto de Ciências da Educação, 0, 1, 4, 9, 15, 8, 50, 0, 0, 0, 0, 87
Educação Física, 0, 0, 4, 2, 3, 4, 1, 0, 0, 0, 0, 14
Pedagogia, 0, 1, 0, 7, 12, 4, 49, 0, 0, 0, 0, 73
Instituto de Ciências da Saúde, 0, 6, 41, 8, 28, 73, 83, 1, 0, 0, 1, 241
Enfermagem, 0, 0, 10, 0, 4, 5, 21, 0, 0, 0, 0, 40
Farmácia, 0, 2, 8, 1, 4, 46, 1, 0, 0, 0, 0, 62
Fisioterapia, 0, 2, 3, 0, 2, 2, 16, 0, 0, 0, 0, 25
Medicina, 0, 0, 0, 1, 2, 2, 3, 1, 0, 0, 1, 10
Nutrição, 0, 1, 11, 3, 6, 4, 19, 0, 0, 0, 0, 44
Odontologia 0, 1, 7, 3, 9, 10, 15, 0, 0, 0, 0, 45
Terapia Ocupacional, 0, 0, 2, 0, 1, 4, 8, 0, 0, 0, 0, 15
Instituto de Ciências Exatas e Naturais, 0, 37, 91, 81, 67, 153, 190, 0, 0, 0, 1, 620
Ciência da Computação, 0, 3, 3, 4, 5, 8, 0, 0, 0, 0, 0, 23
Ciências Naturais (Licenciatura), 0, 1, 11, 2, 6, 16, 1, 0, 0, 0, 0, 37
Estatística - Bacharelado, 0, 1, 8, 13, 11, 52, 0, 0, 0, 0, 1, 86
Física (Bacharelado/Licenciatura), 0, 8, 3, 0, 11, 4, 13, 0, 0, 0, 0, 39
Física (Licenciatura), 0, 4, 22, 10, 12, 27, 68, 0, 0, 0, 0, 143
Física (Bacharelado), 0, 1, 3, 2, 0, 11, 19, 0, 0, 0, 0, 36
Matemática (Licenciatura), 0, 11, 17, 28, 11, 9, 10, 0, 0, 0, 0, 86
Química (Licenciatura), 0, 2, 7, 6, 0, 7, 31, 0, 0, 0, 0, 53
Química (Bacharelado), 0, 3, 4, 0, 4, 4, 15, 0, 0, 0, 0, 30
Química Industrial, 0, 2, 6, 4, 6, 9, 25, 0, 0, 0, 0, 52
Sistemas de Informação, 0, 1, 7, 12, 0, 6, 5, 0, 0, 0, 0, 31
Matemática (Licenciatura) - Intensivo, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0, 0, 4
Instituto de Ciências Jurídicas, 0, 1, 0, 21, 8, 4, 153, 0, 0, 0, 1, 188
Direito, 0, 1, 0, 21, 8, 4, 153, 0, 0, 0, 1, 188
Instituto de Ciências Sociais Aplicadas, 1, 20, 136, 77, 58, 134, 218, 0, 0, 0, 2, 646
Administração, 0, 4, 30, 16, 8, 41, 113, 0, 0, 0, 1, 213
Arquivologia, 0, 1, 6, 5, 3, 6, 1, 0, 0, 0, 0, 22
Biblioteconomia, 0, 4, 14, 3, 3, 10, 20, 0, 0, 0, 0, 54
Ciências Contábeis, 0, 4, 20, 15, 11, 16, 10, 0, 0, 0, 0, 76
Ciências Econômicas, 1, 2, 31, 7, 15, 23, 11, 0, 0, 0, 1, 91
Serviço Social, 0, 2, 15, 9, 5, 26, 3, 0, 0, 0, 0, 60
Turismo, 0, 3, 20, 22, 13, 12, 60, 0, 0, 0, 0, 130
Instituto de Educação Matemática e Científica, 0, 5, 3, 4, 7, 5, 47, 0, 0, 0, 0, 71
Licenciatura Integrada em Educação em Ciências Matemática e Linguagens, 0, 5, 3, 4, 7, 5, 47, 0, 0, 0, 0, 71
Instituto de Filosofia e Ciências Humanas, 0, 17, 44, 41, 58, 72, 237, 0, 0, 4, 1, 474
Ciências Sociais (Bacharelado/Licenciatura), 0, 0, 14, 0, 1, 9, 1, 0, 0, 0, 0, 25
Ciências Sociais (Licenciatura), 0, 4, 2, 27, 9, 15, 4, 0, 0, 0, 0, 61
Ciências Sociais (Bacharelado), 0, 1, 2, 2, 0, 4, 1, 0, 0, 0, 0, 10
Filosofia (Bacharelado/Licenciatura), 0, 0, 8, 0, 2, 3, 0, 0, 0, 0, 0, 13
Filosofia (Licenciatura), 0, 1, 2, 2, 3, 9, 1, 0, 0, 0, 0, 18
Filosofia (Bacharelado), 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 2
Geografia (Licenciatura), 0, 3, 1, 2, 11, 10, 69, 0, 0, 0, 0, 96
Geografia (Bacharelado), 0, 1, 0, 0, 4, 0, 5, 0, 0, 0, 0, 10
História (Licenciatura), 0, 3, 1, 3, 16, 3, 47, 0, 0, 0, 0, 73
História (Bacharelado), 0, 3, 4, 0, 8, 4, 8, 0, 0, 4, 0, 31
Psicologia, 0, 0, 0, 1, 0, 0, 54, 0, 0, 0, 0, 55
Psicologia - Formação do Psicólogo, 0, 1, 9, 2, 4, 10, 38, 0, 0, 0, 1, 65
Geografia - Licenciatura Intensivo, 0, 0, 0, 2, 0, 4, 9, 0, 0, 0, 0, 15
Instituto de Geociências, 0, 6, 9, 36, 18, 22, 18, 0, 0, 0, 1, 110
Geofísica, 0, 1, 1, 6, 8, 8, 14, 0, 0, 0, 0, 38
Geologia, 0, 2, 3, 9, 0, 8, 1, 0, 0, 0, 1, 24
Meteorologia, 0, 2, 5, 14, 7, 6, 2, 0, 0, 0, 0, 36
Oceanografia, 0, 1, 0, 7, 3, 0, 1, 0, 0, 0, 0, 12
Instituto de Letras e Comunicação, 0, 17, 51, 37, 53, 149, 106, 0, 0, 0, 0, 413
Comunicação Social - Publicidade e Propaganda, 0, 0, 3, 0, 0, 3, 5, 0, 0, 0, 0, 11
Comunicação Social - Jornalismo, 0, 1, 4, 0, 1, 2, 20, 0, 0, 0, 0, 28
Letras (Licenciatura em Língua Alemã), 0, 3, 0, 4, 7, 16, 32, 0, 0, 0, 0, 62
Letras (Licenciatura em Língua Francesa), 0, 5, 13, 9, 4, 48, 1, 0, 0, 0, 0, 80
Letras (Licenciatura em Língua Espanhola), 0, 3, 10, 0, 3, 4, 15, 0, 0, 0, 0, 35
Letras (Licenciatura em Língua Inglesa), 0, 2, 7, 16, 3, 49, 0, 0, 0, 0, 0, 77
Letras (Licenciatura em Língua Portuguesa) 0, 2, 0, 7, 30, 13, 30, 0, 0, 0, 0, 82
Letras (Licenciatura em Libras e Língua Portuguesa) - Intensivo, 0, 1, 14, 1, 5, 14, 3, 0, 0, 0, 0, 38
Instituto de Tecnologia, 0, 35, 76, 68, 91, 170, 416, 0, 1, 0, 2, 859
Arquitetura e Urbanismo, 0, 1, 6, 4, 3, 8, 40, 0, 0, 0, 1, 63
Engenharia Biomédica, 0, 4, 3, 0, 5, 6, 4, 0, 0, 0, 0, 22
Engenharia Civil, 0, 5, 18, 29, 16, 32, 116, 0, 0, 0, 0, 216
Engenharia da Computação, 0, 4, 11, 9, 15, 22, 73, 0, 0, 0, 0, 134
Engenharia de Alimentos, 0, 4, 0, 1, 9, 0, 46, 0, 0, 0, 0, 60
Engenharia de Telecomunicações, 0, 2, 5, 1, 7, 6, 16, 0, 0, 0, 0, 37
Engenharia Elétrica, 0, 3, 5, 6, 10, 19, 49, 0, 1, 0, 1, 94
Engenharia Ferroviária e Logística, 0, 1, 0, 0, 0, 1, 3, 0, 0, 0, 0, 5
Engenharia Mecânica, 0, 2, 10, 9, 8, 10, 35, 0, 0, 0, 0, 74
Engenharia Naval, 0, 0, 0, 1, 2, 7, 15, 0, 0, 0, 0, 25
Engenharia Química, 0, 8, 8, 6, 14, 50, 19, 0, 0, 0, 0, 105
Engenharia Sanitária e Ambiental, 0, 1, 10, 2, 2, 9, 0, 0, 0, 0, 0, 24
Total, 1, 162, 507, 413, 438, 844, 1607, 1, 1, 7, 9, 3990 
